condition_id,condition_name,regimen_id,source_id
766,cervical cancer,239,1
767,cervical cancer,275,1
768,cervical cancer,338,1
769,cervical cancer,383,1
770,cervical cancer,384,1
771,cervical cancer,391,1
772,cervical cancer,398,1
773,cervical cancer,403,1
774,cervical cancer,413,1
775,cervical cancer,419,1
776,cervical cancer,421,1
777,cervical cancer,424,1
778,cervical cancer,479,1
779,cervical cancer,545,1
780,cervical cancer,549,1
781,cervical cancer,564,1
782,cervical cancer,567,1
783,cervical cancer,569,1
784,cervical cancer,573,1
785,cervical cancer,577,1
786,cervical cancer,592,1
787,cervical cancer,593,1
788,cervical cancer,594,1
789,cervical cancer,597,1
790,cervical cancer,1160,1
791,cervical cancer,1166,1
792,cervical cancer,1209,1
793,cervical cancer,1249,1
794,cervical cancer,1300,1
795,cervical cancer,1345,1
796,cervical cancer,1397,1
797,cervical cancer,1646,1
798,cervical cancer,1719,1
799,cervical cancer,1748,1
800,cervical cancer,1750,1
801,cervical cancer,2008,1
802,cervical cancer,2016,1
803,chimeric antigen receptor t cells,230,1
804,chimeric antigen receptor t cells,543,1
805,chimeric antigen receptor t cells,791,1
806,cholangiocarcinoma,341,1
807,cholangiocarcinoma,345,1
808,cholangiocarcinoma,350,1
809,cholangiocarcinoma,355,1
810,cholangiocarcinoma,365,1
811,cholangiocarcinoma,391,1
812,cholangiocarcinoma,559,1
813,cholangiocarcinoma,560,1
814,cholangiocarcinoma,563,1
815,cholangiocarcinoma,1012,1
816,cholangiocarcinoma,1060,1
817,cholangiocarcinoma,1128,1
818,cholangiocarcinoma,1139,1
819,cholangiocarcinoma,1209,1
820,cholangiocarcinoma,1212,1
821,cholangiocarcinoma,1214,1
822,cholangiocarcinoma,1222,1
823,cholangiocarcinoma,1240,1
824,cholangiocarcinoma,1241,1
825,cholangiocarcinoma,1245,1
826,cholangiocarcinoma,1249,1
827,cholangiocarcinoma,1251,1
828,cholangiocarcinoma,1253,1
829,cholangiocarcinoma,1255,1
830,cholangiocarcinoma,1257,1
831,cholangiocarcinoma,1358,1
832,cholangiocarcinoma,1410,1
833,cholangiocarcinoma,1456,1
834,cholangiocarcinoma,1661,1
835,cholangiocarcinoma,1748,1
836,cholangiocarcinoma,1751,1
837,cholangiocarcinoma,1869,1
