anchor_drug_id,anchor_drug_name
447,armodafinil
448,arnica flowers extract
449,arnica montana extract
450,arnica montana flower extract
451,arroyo willow pollen extract
452,arsenic trioxide
453,arsenite ion
454,artemether
455,artemisia annua leaf extract
456,artemisia vulgaris root extract
457,artemisinin
458,artesunate
459,arthrospira platensis
460,articaine
461,articaine / epinephrine
462,asciminib
463,ascophyllum nodosum extract
464,ascorbate
465,ascorbic acid
466,ascorbic acid / biotin / copper sulfate / docusate / folic acid / iron carbonyl / vitamin b12 / vitamin e
467,ascorbic acid / polyethylene glycol 3350 / potassium chloride / sodium ascorbate / sodium chloride / sodium sulfate
468,ascorbyl glucoside
469,ascorbyl phosphate
470,asenapine
471,asfotase alfa
472,asiatic acid
473,asiaticoside
474,asparaginase
475,asparagine
476,aspartame
477,aspartic acid
478,aspen pollen extract
479,aspergillus flavus var. oryzae
480,aspergillus fumigatus
481,aspirin
482,aspirin / caffeine
483,aspirin / caffeine / orphenadrine
484,aspirin / oxycodone hydrochloride / oxycodone terephthalate
485,astaxanthin
486,astemizole
487,astragalus propinquus root polysaccharides
488,asunaprevir
489,atacicept
490,atazanavir
491,atazanavir / cobicistat
492,atenolol
493,atenolol / chlorthalidone
494,atezolizumab
495,atidarsagene autotemcel
496,atinvicitinib
497,atipamezole
498,atlantic halibut preparation
499,atogepant
500,atoltivimab
501,atoltivimab / maftivimab / odesivimab
502,atomoxetine
503,atorvastatin
504,atosiban
505,atovaquone
506,atovaquone / proguanil
507,atractylodes japonica root oil
508,atractylodes lancea root extract
509,atracurium
510,atrasentan
511,atropine
512,atropine / difenoxin
513,atropine / diphenoxylate
514,atropine / edrophonium
515,atropine / pralidoxime
516,attapulgite
517,auranofin
518,aurothioglucose
519,aurothiomalate
520,australian pine pollen extract
521,austrian pine pollen extract
522,avacincaptad pegol
523,avacopan
524,avalglucosidase alfa
525,avanafil
526,avapritinib
527,avatrombopag
528,avelumab
529,avena sativa flowering top extract
530,avibactam
531,avibactam / ceftazidime
532,avilamycin
533,aviscumine
534,avobenzone
535,avocado oil
536,avotermin
537,avutometinib
538,axatilimab
539,axicabtagene ciloleucel
540,axitinib
541,azacitidine
542,azadirachta indica flower extract
543,azadirachta indica leaf extract
544,azaperone
545,azatadine
546,azatadine / pseudoephedrine
547,azathioprine
548,azelastine
549,azelastine / fluticasone
550,azelate
551,azficel-t
552,azidocillin
553,azilsartan
554,azilsartan / chlorthalidone
555,azintamide
556,azithromycin
557,azlocillin
558,azosemide
559,aztreonam
560,bacampicillin
561,bacillus amyloliquefaciens
562,bacillus anthracis strain v770-np1-r antigens
563,bacillus clausii
564,bacillus subtilis
565,bacitracin
566,bacitracin methylene disalicylate
567,baclofen
568,bacopa monniera whole extract
569,bahia grass pollen extract
570,baicalein
571,bakuchiol
572,bald cypress pollen extract
573,bald-faced hornet venom protein
574,baloxavir
575,baloxavir marboxil
576,balsalazide
577,balsam peru oil
578,balsam poplar pollen extract
579,bambermycins
580,bamboo extract
581,bambusa vulgaris top extract
582,bambuterol
583,bamethan
584,bamifylline
585,bamipine
586,bamlanivimab
587,barbexaclone
588,barbital
589,baricitinib
590,barium
591,barium sulfate
592,barley malt allergenic extract
593,barley malt syrup
594,basiliximab
595,batilol
596,baxdrostat
597,bay leaf allergenic extract
598,bazedoxifene
599,"bazedoxifene / estrogens, conjugated (usp)"
600,"bcg, live, connaught strain"
601,"bcg, live, tice strain"
602,bebtelovimab
603,becaplermin
604,beclamide
605,beclomethasone
606,beclomethasone / formoterol / glycopyrronium
607,bedaquiline
608,bee pollen
609,beech pollen extract
610,beef liver allergenic extract
611,beeswax
612,behenate
613,beheneth-10
614,belantamab
615,belantamab mafodotin
616,belatacept
617,belimumab
618,belinostat
619,bellis perennis flower extract
620,belumosudil
621,belzutifan
622,bemiparin
623,bemotrizinol
624,bempedoic acid
625,bempedoic acid / ezetimibe
626,benactyzine
627,benazepril
628,benazepril / hydrochlorothiazide
629,bencyclane
630,bendamustine
631,bendroflumethiazide
632,benfluorex
633,benorilate
634,benoxinate
635,benoxinate / fluorescein
636,benperidol
637,benphothiamine
638,benproperine
639,benralizumab
640,benserazide
641,bentiromide
642,bentonite
643,bentoquatam
644,benzalkonium
645,benzalkonium / lidocaine
646,benzarone
647,benzbromarone
648,benzenesulfinic acid
649,benzethonium
650,benzgalantamine
651,benzhydrocodone
652,benzimidazole
653,benznidazole
654,benzoate
655,benzoate / phenylacetate
656,benzocaine
657,benzocaine / trimethobenzamide
658,benzoin resin
659,benzonatate
660,benzophenone
661,benzoxiquine
662,benzoxonium
663,benzoyl peroxide
664,benzphetamine
665,benzquercin
666,benzquinamide
667,benzthiazide
668,benztropine
669,benzydamine
670,benzyl alcohol
671,benzyl benzoate
672,benzyl chloride
673,benzylamine
674,benzylparaben
675,benzylpenicilloyl polylysine
676,benzylthiouracil
677,bepotastine
678,bepridil
679,beractant
680,berahyaluronidase alfa
681,berberine
682,berdazimer
683,beremagene geperpavec
684,bergamot oil
685,bermuda grass pollen extract
686,berotralstat
687,beryllium
688,besifloxacin
689,beta carotene
690,beta-alanine
691,beta-escin
692,beta-pinene
693,betadex
694,betahistine
695,betaine
696,betamethasone
697,betamethasone / calcipotriene
698,betamethasone / clotrimazole / gentamicin
699,betasizofiran
700,betaxolol
701,bethanechol
702,bethanidine
703,betibeglogene autotemcel
704,betrixaban
705,betula pendula tar oil
706,betulin
707,bevacizumab
708,bexagliflozin
709,bexarotene
710,bezafibrate
711,bezlotoxumab
712,bicalutamide
713,bicisate
714,biclotymol
715,bictegravir
716,bictegravir / emtricitabine / tenofovir alafenamide
717,bifemelane
718,bifenthrin
719,bifidobacterium bifidum
720,bifidobacterium breve
721,bifidobacterium infantis
722,bifonazole
723,biguanide
724,bimatoprost
725,bimekizumab
726,binimetinib
727,bioallethrin
728,biotin
729,biperiden
730,birch triterpenes
731,bird pepper extract
732,bisabolol
733,bisacodyl
734,bisdequalinium
735,bisdisulizole
736,bismuth aluminate
737,bismuth carbonate
738,bismuth cation
739,bismuth dipropylacetate
740,bismuth oxide
741,bismuth subcarbonate
742,bismuth subcitrate
743,bismuth subcitrate / metronidazole / tetracycline
744,bismuth subgallate
745,bismuth subnitrate
746,bismuth subsalicylate
747,bismuth tribromophenate
748,bisoctrizole
749,bisoprolol
750,bisoprolol / hydrochlorothiazide
751,bisphenol a
752,bitolterol
753,bitter dock pollen extract
754,bitternut hickory pollen extract
755,bivalirudin
756,black cottonwood pollen extract
757,black imported fire ant allergenic extract
758,black locust pollen extract
759,black oak pollen extract
760,black walnut pollen extract
761,blackberry flavor
762,bleomycin
763,blinatumomab
764,blue beech pollen extract
765,blue crab preparation
766,blue spruce pollen extract
767,blueberry allergenic extract
768,boceprevir
769,boldenone
770,bopindolol
771,borage oil
772,borate ion
773,bordetella pertussis
774,boric acid
775,bornaprine
776,borneol
777,"borneol, (+)-"
778,bornyl acetate
779,boron
780,bortezomib
781,bos taurus gallstone preparation
782,boscalid
783,bosentan
784,bosentan monohydrate
785,bosutinib
786,bottlebrush pollen extract
787,botulinum neurotoxin a immune fab2 / botulinum neurotoxin b immune fab2 / botulinum neurotoxin c immune fab2 / botulinum neurotoxin d immune fab2 / botulinum neurotoxin e immune fab2 / botulinum neurotoxin f immune fab2 / botulinum neurotoxin g immune fab2
788,botulinum toxin type a
789,botulinum toxin type b
790,botulism immune globulin iv human
791,box elder maple pollen extract
792,bremelanotide
793,brensocatib
794,brentuximab vedotin
795,bretylium
796,brexanolone
797,brexpiprazole
798,brexucabtagene autoleucel
799,brigatinib
800,brilliant blue g
801,brilliant green
802,brimonidine
803,brincidofovir
804,brinzolamide
805,brivaracetam
806,brivudine
807,broad leaved paperbark pollen extract
808,broadleaf cattail pollen extract
809,broccoli sprout extract
810,brodalumab
811,brodimoprim
812,brolucizumab
813,bromazepam
814,bromelains
815,bromfenac
816,bromhexine
817,bromocriptine
818,bromodiphenhydramine
819,bromodiphenhydramine / codeine
820,bromopride
821,bromotheophylline
822,bromperidol
823,brompheniramine
824,bronopol
825,broomweed pollen extract
826,brotizolam
827,brovanexine
828,brown iron oxide
829,brown rice preparation
830,bruceantin
831,brucine
832,buclizine
833,budesonide
834,budipine
835,bufexamac
836,buflomedil
837,bulevirtide
838,bumadizone
839,bumetanide
840,bunazosin
841,bupivacaine
842,bupranolol
843,buprenorphine
844,bupropion
845,bupropion / naltrexone
846,bur oak pollen extract
847,burning bush pollen extract
848,burosumab
849,burrobrush pollen extract
850,burweed marshelder pollen extract
851,buserelin
852,buspirone
853,busulfan
854,butabarbital
855,butacaine
856,butafosfan
857,butalamine
858,butalbital
859,butamben
860,butamirate
861,butane
862,butedronate
863,butenafine
864,butetamate
865,buthiazide
866,butibufen
867,butidrine
868,butobarbital
869,butoconazole
870,butorphanol
871,butriptyline
872,button mushroom extract
873,butyl alcohol
874,butyl chloride
875,butyl stearate
876,butylated hydroxyanisole
877,butylated hydroxytoluene
878,butylparaben
879,butylscopolamine
880,butyrate
881,buzepide metiodide
882,c1 esterase inhibitor
883,c11-12 isoparaffin
884,cabazitaxel
885,cabergoline
886,cabotegravir
887,cabozantinib
888,cadexomer iodine
889,cadmium
890,cadmium sulfate
891,cadmium sulfide
892,cafedrine
893,caffeic acid
894,caffeine
895,cajuput oil
896,calamine / pramoxine
897,calaspargase pegol
898,calcifediol
899,calcipotriene
900,calcitonin
901,calcitriol
902,calcium
903,calcium acetate
904,calcium alginate
905,calcium ascorbate
906,calcium aspartate
907,calcium carbimide
908,calcium carbonate
909,calcium chloride
910,calcium citrate
911,calcium fluoride
912,calcium glubionate
913,calcium glucarate
914,calcium gluceptate
915,calcium gluconate
916,calcium glycerophosphate
917,calcium hydroxide
918,calcium hypophosphite
919,calcium lactate
920,calcium lactobionate
921,calcium levulinate
922,calcium oxide
923,calcium oxybate / magnesium oxybate / potassium oxybate / sodium oxybate
924,calcium phosphate
925,calcium polycarbophil
926,calcium pyrophosphate
927,calcium saccharate
928,calcium silicate
929,calcium sulfate
930,calcium sulfide
931,calcium threonate
932,calendula officinalis extract
933,calendula officinalis flower extract
934,calendula officinalis whole extract
935,calfactant
936,california black oak pollen extract
937,california black walnut pollen extract
938,california juniper pollen extract
939,california mugwort pollen extract
940,california scrub oak pollen extract
941,calteridol
942,cambendazole
943,camellia japonica seed oil
944,camphene
945,camphor
946,camphor / capsaicin / menthol
947,camphor / capsicum oleoresin / menthol / methyl salicylate
948,camphor leaf oil
949,"camphoric acid, (+)-"
950,canada goldenrod pollen extract
951,canadian bluegrass pollen extract
952,canagliflozin
953,canakinumab
954,canary feather extract
955,canary grass pollen extract
956,candesartan
957,candesartan / hydrochlorothiazide
958,candida albicans
959,cangrelor
960,canis lupus familiaris hair extract
961,cannabichromene
962,cannabidiol
963,cannabigerol
964,cannabinol
965,cannabis sativa subsp. flowering top extract
966,canrenoate
967,canrenoic acid
968,canrenone
969,cantharidin
970,canthaxanthin
971,canyon ragweed pollen extract
972,capecitabine
973,capivasertib
974,caplacizumab
975,capmatinib
976,capreomycin
977,capromab pendetide
978,capromorelin
979,caprylamidopropyl betaine
980,caprylhydroxamic acid
981,capsaicin
982,capsicum annuum whole extract
983,capsicum extract
984,capsicum oleoresin
985,captopril
986,caramiphen
987,carazolol
988,carbachol
989,carbadox
990,carbamazepine
991,carbamide peroxide
992,carbamoylcholine
993,carbarson
994,carbaryl
995,carbazochrome
996,carbenicillin
997,carbenoxolone
998,carbetapentane
999,carbetapentane / guaifenesin
1000,carbidopa
1001,carbidopa / levodopa
1002,carbimazole
1003,carbinoxamine
1004,carbocysteine
1005,carbomer
1006,carbomer homopolymer type b (allyl pentaerythritol or allyl sucrose crosslinked)
1007,carbomer homopolymer type c
1008,carbomer-940
1009,carbomer-974p
1010,carbon black
1011,carbon dioxide
1012,carbon monoxide
1013,carbon tetrachloride
1014,carbonate ion
1015,carboplatin
1016,carboprost
1017,carboxymethylcellulose
1018,carboxypolymethylene
1019,carbromal
1020,carbutamide
1021,cardamom extract
1022,carduus marianus preparation
1023,careless weed pollen extract
1024,carfilzomib
1025,carglumic acid
1026,cariprazine
1027,carisoprodol
1028,carmustine
1029,carnitine
1030,carnosine
1031,carpipramine
1032,carprofen
1033,carteolol
1034,carthamus tinctorius flower bud extract
1035,carvacrol
1036,carvedilol
1037,caryophyllene
1038,carzenide
1039,cascara sagrada
1040,casein allergenic extract
1041,cashew nut allergenic extract
1042,casimersen
1043,casirivimab
1044,caspofungin
1045,cassia fistula fruit extract
1046,castor oil
1047,cat flea allergenic extract
1048,cat hair extract
1049,cat skin extract
1050,catechin
