regimen_synonym_id,regimen_synonym,source_id,regimen_id
199,"ara-c (cytarabine), daunorubicin, etoposide",1,71
200,"ara-c (cytarabine), daunorubicin, etoposide, all-trans retinoic acid",1,72
201,"ara-c (cytarabine), daunorubicin, etoposidem, gemtuzumab ozogamicin",1,73
202,"ara-c (cytarabine), idarubicin, etoposide",1,93
203,"arsenic trioxide, then atra and daunorubicin",1,137
204,aspametdex (erwinaze),1,141
205,"asparaginase, methotrexate, dexamethasone",1,141
206,aspirin and dexamethasone,1,7
207,at,1,7
208,atc,1,66
209,"atezolizumab, bevacizumab, carboplatin, paclitaxel",1,30
210,"atezolizumab, carboplatin, nab-paclitaxel",1,432
211,"atezolizumab, platinum (carboplatin), pemetrexed",1,439
212,"atezolizumab, platinum (cisplatin), pemetrexed",1,439
213,atg,1,150
214,atg (rabbit) monotherapy,1,150
215,atg and csa,1,149
216,atg and cyclosporine,1,149
217,"atra, idarubicin",1,158
218,augmented hyper-cvad and asparaginase,1,163
219,avd-a,1,21
220,b+cp,1,403
221,b-avd,1,21
222,b-chop,1,521
223,b-mopp,7,1613
224,bacillus calmette-guerin (bcg) monotherapy,1,203
225,bacillus calmette-guerin and dimethyl triazeno imidazole carboxamide (dacarbazine),1,202
226,bacop,1,521
227,bad,1,852
228,"baseline bleomycin, etoposide, adriamycin (doxorubicin), cyclophosphamide, oncovin (vincristine), procarbazine, prednisone",1,212
229,bbeacopp,1,212
230,bcg and dtic,1,202
231,bcnu (carmustine) and radiation therapy,1,456
232,"bcnu (carmustine), cyclophosphamide, oncovin (vincristine), prednisone",1,207
233,"bcnu (carmustine), cyclophosphamide, vinblastine, procarbazine, prednisone",1,208
234,"bcnu (carmustine), cyclophosphamide, vincristine, procarbazine, prednisone",1,208
235,"bcnu (carmustine), etoposide, ara-c (cytarabine), melphalan",1,214
236,"bcnu (carmustine), hydroxyurea, dacarbazine",1,243
237,"bcnu (carmustine), thiotepa",1,206
238,"bcnu (carmustine), vincristine, dacarbazine",1,197
239,bcnu and adriamycin,1,455
240,bcnu and doxorubicin,1,455
241,bcnu and rt,1,456
242,bcp,1,403
