synonym_id,anchor_drug_id,synonym_name
28257,4798,splenda
28258,2174,spm 8272
28259,2174,spm 907
28260,2886,spm 927
28261,5326,spongo-adenosine
28262,5326,spongoadenosine
28263,2829,sporanox
28264,222,spp100
28265,593,sprouted hordeum vulgare oligosaccharide extract
28266,4231,sprx-105
28267,4231,sprx-3
28268,1523,sprycel
28269,1068,sq 11436
28270,5037,sq 14055
28271,4413,sq 22558
28272,2296,"sq 27,519"
28273,1701,sq 9453
28274,2614,sq-1089
28275,1915,sq-34676
28276,1701,sq-9453
28277,4964,sq-9538
28278,1915,sq34676
28279,2435,sr 206
28280,2276,sr 90107
28281,3730,sr 96669
28282,3730,sr-96669
28283,5058,sr41319
28284,3730,sr96669
28285,1028,sri 1720
28286,1182,sri 5244
28287,1182,sri-5244
28288,1182,sri5244
28289,4692,srif
28290,2757,ss-578
28291,688,ss734
28292,4628,ssd
28293,4149,sski
28294,4915,st 246
28295,2625,st john's wort
28296,2625,st johns wort
28297,4915,st-246
28298,1653,st-52
28299,2625,st. john's wort
28300,2621,st. john's wort top oil
28301,2625,st. johns wort
28302,2625,st. johnswort flowering top
28303,2625,st. john’s wort
28304,465,st. joseph adult
28305,105,st. joseph aspirin-free
28306,2543,st1512/so4
28307,870,stadol
28308,105,stanback
28309,685,standardized bermuda grass pollen
28310,1049,standardized cat pelt
28311,2867,standardized june grass pollen
28312,2856,standardized kentucky blue/june grass pollen
28313,3169,standardized meadow fescue grass pollen
28314,3704,standardized orchard grass pollen
28315,4026,standardized piperine extract
28316,4604,standardized short ragweed pollen allergenic extract
28317,4860,standardized sweet vernal grass pollen
28318,5060,standardized timothy grass pollen
28319,1157,stanhexidine
28320,1157,stanley chlorhexidine
28321,4728,stannous chloride anhydrous
28322,4728,"stannous chloride,anhydrous"
28323,3285,staphcillin
28324,4228,starazin
28325,1388,starch 1500
28326,1388,starch 1500 pregelatinized
28327,1388,"starch 1500, pregelatinized"
28328,1388,starch 1551
28329,1388,starch maize pregelatinized
28330,1388,"starch, corn"
28331,1388,"starch, corn (spress b820)"
28332,1388,"starch, maize"
28333,1388,"starch, pregelatinized corn"
28334,4733,"starch, pregelatinized tapioca"
28335,3506,starlix
28336,385,state of return
28337,4231,statobex
28338,4231,statobex-g
28339,4735,stavudin
28340,4735,stavudinum
28341,4374,steamed chinese foxglove root
28342,3462,stearamidopropyl dimethylamine
28343,4736,stearic acid
28344,1667,"stearic acid, 2-(2-hydroxyethoxy)ethyl ester"
28345,4736,"stearic acid, magnesium salt"
28346,2431,"stearic acid, monoester with glycerol"
28347,4736,stearinsäure
28348,2431,stearoylglycerol
28349,5276,stelara
28350,5276,stelera
28351,377,stem cell factor
28352,5196,stemetic
28353,4217,stemetil
28354,3827,stemex
28355,377,stemgen
28356,525,stendra
28357,3273,stenolon
28358,2932,steol cs-460
28359,4740,stepronine
28360,4740,stepronino
28361,4740,steproninum
28362,2852,sterculia
28363,2852,sterculia gum
28364,2852,sterculia resin
28365,2852,sterculia urens resin
28366,4188,sterecyt
28367,1157,steri-stat
28368,2217,sterile fudr
28369,4881,sterile talc powder
28370,5376,sterile water
28371,4709,"steroids, soya hydroxy"
28372,4709,sterol
28373,505,steronyl
28374,505,sterotate
28375,4741,steviosin
28376,2658,sti 571
28377,2658,sti-571
28378,2658,sti571
28379,4678,stibanate
28380,4678,stibanose
28381,4678,stibatin
28382,407,"stibine, triiodo-"
28383,4678,stibinol
28384,4678,stibogluconate de sodium
28385,3589,stickstoff(ii)-oxid
28386,3589,stickstoffmonoxid
28387,5148,stieva-a
28388,1653,stil-betin#
28389,1653,stil-rol
28390,4692,stilamin
28391,1653,stilbestrol
28392,1653,stilbestrol#
28393,1653,stilboestroform
28394,1653,stilboestrol
28395,1653,stilboestrol diphosphate
28396,1653,stilkap
28397,1653,stilphostrol
28398,1653,stilphostrol (fm)
28399,1653,stilphostrol#
28400,1570,stimate
28401,3859,stimufend
