row_id,interventions_id,clinical_trial_id,name,other_name,source_id
200018,4561779,NCT05174221,Mezagitamab,TAK-079,6
200019,4561780,NCT04214821,Levofloxacin Ophthalmic Solution,Cravit 1.5%,6
200020,4561781,NCT04214821,Moxifloxacin Ophthalmic Solution,Vigamox 0.5%,6
200021,4561787,NCT03833921,Abiraterone Acetate,Zytiga,6
200022,4561792,NCT00911521,human papillomavirus vaccination (Gardasil),Gardasil,6
200023,4561793,NCT04598321,Talazoparib Oral Capsule,Talzenna,6
200024,4561796,NCT02875821,Ipragliflozin,Suglat®,6
200025,4561800,NCT04558021,Niclosamide suspension,Niclonex,6
200026,4561805,NCT01287221,Rifampicin,Rifadin,6
200027,4561805,NCT01287221,Rifampicin,Rifampin,6
200028,4561805,NCT01287221,Rifampicin,Rifater,6
200029,4561805,NCT01287221,Rifampicin,Rimactane,6
200030,4561805,NCT01287221,Rifampicin,Rimactazid,6
200031,4561805,NCT01287221,Rifampicin,Rimycin,6
200032,4561805,NCT01287221,Rifampicin,Rofact,6
200033,4561806,NCT01287221,placebo,riboflavin,6
200034,4561806,NCT01287221,placebo,vitamin B2,6
200035,4561808,NCT02658721,lidocaine+adjunct tramadol,tramadol,6
200036,4561809,NCT02658721,lidocaine+systemic tramadol,tramadol,6
200037,4561823,NCT06199921,Atorvastatin 20mg,Astin,6
200038,4561824,NCT06199921,Atorvastatin 40mg,Astin,6
200039,4561825,NCT06199921,Atorvastatin 60mg,Astin,6
200040,4561848,NCT00444314,Sunitinib Malate,Sutent,6
200041,4561861,NCT00922714,Glutamine,"L-alanyl-L-glutamine, Dipeptiven",6
200042,4561863,NCT01295814,Adalimumab,Humira,6
200043,4561872,NCT02759614,Bevacizumab,Avastin,6
200044,4561873,NCT02759614,Erlotinib,Tarceva,6
200045,4561874,NCT03460314,Buprenorphine,Buprenex,6
200046,4561874,NCT03460314,Buprenorphine,Buprenorphine hydrochloride,6
200047,4561876,NCT00510614,tinidazole,Tindamax,6
200048,4561890,NCT02299414,Anti-hypertensive therapy,Adalat,6
200049,4561890,NCT02299414,Anti-hypertensive therapy,Normodyne,6
200050,4561890,NCT02299414,Anti-hypertensive therapy,Procardia XL,6
200051,4561890,NCT02299414,Anti-hypertensive therapy,Trandate,6
200052,4561900,NCT04569214,PAZ320,Galactomannan,6
200053,4561902,NCT01207414,iloperidone,Fanapt™,6
200054,4561905,NCT02047214,TPI 287,NBT 287,6
200055,4561905,NCT02047214,TPI 287,TPI-287,6
200056,4561906,NCT02047214,Bevacizumab,Avastin,6
200057,4561910,NCT05939414,AAA617,(177Lu) vipivotide tetraxetan,6
200058,4561916,NCT01112514,indocyanine green,IC-Green,6
200059,4561916,NCT01112514,indocyanine green,ICG,6
200060,4561921,NCT01012414,paricalcitol,Zemplar,6
200061,4561924,NCT06025214,Fluticasone propionate 500 mcg and salmeterol xinafoate 50 mcg/Respirent Pharmaceuticals,Test,6
200062,4561925,NCT06025214,ADVAIR DISKUS® 500/50,Reference,6
200063,4561936,NCT00576914,recombinant human endostatin,endostar,6
200064,4561942,NCT04054414,Normal Saline along with standard treatment,Vehicle,6
200065,4561943,NCT04054414,PMZ-1620 along with standard treatment,Sovateltide (IRL-1620) along with standard treatment,6
200066,4561952,NCT01198795,Escitalopram,Lexapro,6
200067,4561955,NCT02780895,Human Stem Cells,OK99,6
200068,4561956,NCT01601795,Sevoflurane,Sevorane,6
200069,4561957,NCT01601795,Isoflurane,Isofluran,6
200070,4561958,NCT04321395,Vigabatrin,sabril,6
200071,4561959,NCT04225195,Amphotericin B cholesteryl sulfate complex for injection(ABCD),ABCD,6
200072,4561975,NCT03101995,Gemcitabine,Gemzar,6
200073,4561980,NCT00605995,Simvastatin,Zocor,6
200074,4561981,NCT05132595,Normal saline,0. 9% Sodium Chloride Injection,6
200075,4561982,NCT05132595,Esketamine at high dose,Esketamine Hydrochloride Injection,6
200076,4561983,NCT05132595,Esketamine at low dose,Esketamine Hydrochloride Injection,6
200077,4561984,NCT05132595,Ketorolac at high dose,Ketorolac Tromethamine,6
200078,4561985,NCT05132595,Ketorolac at low dose,Ketorolac Tromethamine,6
200079,4562004,NCT05180695,Pazopanib,Votrient,6
200080,4562005,NCT05180695,HDM201,siremadlin,6
200081,4562013,NCT00568295,acetaminophen,Tylenol,6
200082,4562014,NCT00568295,Rofecoxib,Viox,6
200083,4562015,NCT00568295,Rofecoxib,Viox,6
200084,4562018,NCT00524095,azithromycin and fluticasone,azithromycin,6
200085,4562018,NCT00524095,azithromycin and fluticasone,fluticasone,6
200086,4562019,NCT00524095,fluticasone and azithromycin,azithromycin,6
200087,4562019,NCT00524095,fluticasone and azithromycin,fluticasone,6
200088,4562023,NCT06246695,Jaktinib Hydrochloride Tablets,Jaktinib,6
200089,4562024,NCT06246695,Itraconazole capsule,Itraconazole,6
200090,4562025,NCT06246695,Rifampicin Capsules,Rifampicin,6
200091,4562028,NCT00929695,prednisone,DeCortin,6
200092,4562028,NCT00929695,prednisone,Deltra,6
200093,4562029,NCT00929695,methylprednisolone,Depo-Medrol,6
200094,4562029,NCT00929695,methylprednisolone,MePRDL,6
200095,4562029,NCT00929695,methylprednisolone,Medrol,6
200096,4562029,NCT00929695,methylprednisolone,Solu-Medrol,6
200097,4562029,NCT00929695,methylprednisolone,Wyacort,6
200098,4562031,NCT00462995,Erlotinib,Tarceva,6
200099,4562058,NCT02519140,Cook Medical EMR Gel,Cook Medical EMR Gel will be injected submucosally,6
200100,4562068,NCT02760940,oral liposomal iron,ferric pyrophosphate,6
200101,4562069,NCT04137640,palbociclib combined with letrozole,Endocrine group,6
200102,4562070,NCT04137640,epirubicin combined with cyclophosphamide and sequential docetaxel,Chemotherapy group,6
200103,4562074,NCT03266640,viral specific cytotoxic t-lymphocytes,CMV CTLs,6
200104,4562076,NCT05959044,Folic Acid Tablet,"Vitamin B-9,Folison",6
200105,4562089,NCT02868372,Povidone iodine,Betadine,6
200106,4562091,NCT00853372,Sunitinib,SUTENT (oral multi-kinase inhibitor),6
200107,4562092,NCT00853372,Trebananib,AMG 386,6
200108,4562092,NCT00853372,Trebananib,Angiogenesis inhibitor,6
200109,4562097,NCT02826772,GT0918,androgen receptor antagonist,6
200110,4562097,NCT02826772,GT0918,proxalutamide,6
200111,4562101,NCT00771472,vorinostat,MK-0683,6
200112,4562101,NCT00771472,vorinostat,Zolinza,6
200113,4562102,NCT05142072,Vitamin D3,Calciferol,6
200114,4562116,NCT02439450,Nivolumab,Opdivo,6
200115,4562117,NCT02439450,Pembrolizumab,Keytruda,6
200116,4562118,NCT02439450,Pemetrexed,Alimta,6
200117,4562121,NCT05594381,Sintilimab,Oxaliplatin,6
200118,4562121,NCT05594381,Sintilimab,Radical gastrectomy with D2 lymph node dissection,6
200119,4562121,NCT05594381,Sintilimab,Tegafur,6
200120,4562129,NCT01117350,Insulin glargine,Lantus®,6
200121,4562130,NCT01117350,Liraglutide,Victoza®,6
200122,4562135,NCT00204581,Interleukin-2 (Proleukin),Proleukin,6
200123,4562149,NCT04627402,Conbercept and TA,Combined agents,6
200124,4562150,NCT04627402,Conbercept,Single agent,6
200125,4562165,NCT00522821,intravenous immunoglobulins,Nanogam,6
200126,4562166,NCT00522821,antibiotics,co-trimoxazol,6
200127,4562166,NCT00522821,antibiotics,if not lorated: azitromycine,6
200128,4562173,NCT00437164,Oral GW677954 Capsules (15 mg),Insulin,6
200129,4562174,NCT01185821,BAF312,siponimod,6
200130,4562184,NCT04705714,Frankincense Extract,Boswellia sacra Flueck. Oleoresin Extract,6
200131,4562194,NCT01004250,Pemetrexed,Alimta,6
200132,4562194,NCT01004250,Pemetrexed,LY231514,6
200133,4562203,NCT04292314,Honey,Natural honey formulation,6
200134,4562214,NCT00414414,Prednisone,non applicable,6
200135,4562215,NCT00414414,placebo,non applicable,6
200136,4562231,NCT00658255,budesonide/formoterol,Symbicort,6
200137,4562232,NCT00658255,formoterol,Oxis Turbuhaler,6
200138,4562241,NCT06186921,Dexamethasone,bupivacaine,6
200139,4562241,NCT06186921,Dexamethasone,diclofenac sodium,6
200140,4562242,NCT04169321,Single Arm,CSB-111,6
200141,4562242,NCT04169321,Single Arm,[68Ga]-NOTA-hGZP,6
200142,4562269,NCT04547855,anlotinib combined with dose-dense temozolomide,Anlotinib hydrochloride capsule,6
200143,4562275,NCT01098955,Varenicline,Chantix,6
200144,4562280,NCT00481455,Panzem NCD,2-methoxyestradiol,6
200145,4562280,NCT00481455,Panzem NCD,2ME2,6
200146,4562296,NCT00571155,levetiracetam,Keppra,6
200147,4562312,NCT01682902,Faster-acting insulin aspart,NN1218,6
200148,4562313,NCT01682902,Faster-acting insulin aspart,NN1218,6
200149,4562325,NCT02705014,Gonadotropin-releasing Hormone,Gonadorelin,6
200150,4562328,NCT05550402,Salbutamol,ventolin,6
200151,4562329,NCT05550402,Ipratropium Bromide,Atrovent,6
200152,4562346,NCT00841321,Ginkgo biloba,EGb 761,6
200153,4562358,NCT03304821,GM-CSF,Leukine,6
200154,4562358,NCT03304821,GM-CSF,Sargramostim,6
200155,4562375,NCT05153668,Everolimus Oral Tablet,Zortress,6
200156,4562379,NCT00641446,budesonide,Pulmicort,6
200157,4562380,NCT00641446,varicella zoster virus,Varivax,6
200158,4562383,NCT02865746,Bethametasone,Group 1,6
200159,4562384,NCT02865746,Placebo,Group 2,6
200160,4562387,NCT00171912,imatinib mesylate,STI571,6
200161,4562393,NCT03969212,Baloxavir Marboxil,Xofluza,6
200162,4562406,NCT02782312,ICS+LABA,Seretide,6
200163,4562409,NCT01118312,Mometasone Furoate monohydrate,Nasonex,6
200164,4562437,NCT00004112,CHOP regimen,"cyclophosphamide, vincristine, doxorubicin, prednisolone",6
200165,4562438,NCT00004112,cyclophosphamide,chemotherapy,6
200166,4562439,NCT00004112,doxorubicin hydrochloride,"Lipodox, Lipodox 50, and Doxil",6
200167,4562440,NCT00004112,prednisone,"Prednisone Intensol, Deltasone, Rayos, steroid",6
200168,4562441,NCT00004112,vincristine sulfate,Oncovin,6
200169,4562455,NCT00312546,Enfuvirtide,T-20,6
200170,4562458,NCT02955446,PF-03084014,Gamma Secretase Inhibitor,6
200171,4562461,NCT05222412,Iptacopan,LNP023,6
200172,4562462,NCT04282746,JNJ-54135419,(S)-ketamine,6
200173,4562469,NCT04172246,Zanubrutinib,BGB-3111,6
200174,4562471,NCT01009346,RAD001,Everolimus,6
200175,4562472,NCT01009346,Cetuximab,Erbitux,6
200176,4562473,NCT01009346,Cisplatin,CDDP,6
200177,4562473,NCT01009346,Cisplatin,cis-diamminedichloroplatinum(II),6
200178,4562473,NCT01009346,Cisplatin,cisplatinum,6
200179,4562474,NCT01009346,Carboplatin,"cis-Diammine(1,1-cyclobutanedicarboxylato)platinum(II)",6
200180,4562478,NCT01096446,Intravenous Fat Emulsions,Intralipid 20%,6
200181,4562481,NCT04989946,Nivolumab,Opdivo,6
200182,4562482,NCT04989946,Cemiplimab,Libtavo,6
200183,4562483,NCT04989946,Fianlimab,REGN3767,6
200184,4562484,NCT04989946,FLT PET/CT,3'-Deoxy-3'-[18F]Fluorothymidine (FLT) positron emission tomography (PET) /computed tomography (CT),6
200185,4562490,NCT02805946,posaconazole,Noxafil,6
