anchor_drug_id,canonical_rxcui,canonical_drug_name,canonical_tty
208,12062,alfacalcidol,IN
209,852634,alfalfa pollen extract,IN
210,1926478,alfatradiol,IN
211,1544577,alfaxalone,IN
212,480,alfentanil,IN
213,17300,alfuzosin,IN
214,966692,algal fungi allergenic extract,IN
215,595,algestone,IN
216,1370451,alginate,IN
217,17305,alginic acid,IN
218,46049,alglucerase,IN
219,629565,alglucosidase alfa,IN
220,236219,alibendol,IN
221,1659152,alirocumab,IN
222,325646,aliskiren,IN
223,81864,alitretinoin,IN
224,17311,alizapride,IN
225,852106,alkali blite pollen extract,IN
226,1367187,all-trans-retinol,IN
227,508,allantoin,IN
228,2729790,allicin,IN
229,516,allobarbital,IN
230,2626471,allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen,IN
231,2626460,allogeneic processed thymus tissue,IN
232,2700761,allogenic bone-marrow-derived mesenchymal stem cells,IN
233,17354,alloin,IN
234,519,allopurinol,IN
235,897304,allscale pollen extract,IN
236,17376,allyl sulfide,IN
237,525,allylestrenol,IN
238,1318494,allylthiourea,IN
239,17387,alminoprofen,IN
240,528,almitrine,IN
241,279645,almotriptan,IN
242,1441543,alnus glutinosa bark extract,IN
243,1309503,aloe ferox leaf preparation,IN
244,1309199,aloe vera flower extract,IN
245,1306128,aloe vera leaf extract,IN
246,1739980,aloe vera leaf polysaccharides,IN
247,1368001,alogliptin,IN
248,17392,aloglutamol,IN
249,85248,alosetron,IN
250,17393,aloxiprin,IN
251,2169285,alpelisib,IN
252,535,alpha 1-antitrypsin,IN
253,237099,alpha tocopherol,IN
254,560,alpha-amylase,IN
255,1363429,alpha-arbutin,IN
256,259351,alpha-d-galactosidase enzyme,IN
257,1800492,alpha-d-glucopyranose,IN
258,17511,alpha-ketoglutaric acid,IN
259,2362183,alpha-pinene,IN
260,1371307,alpha-terpineol,IN
261,1995482,alpha-tocopheryloxyacetate,IN
262,1376149,alpha-tocopherylquinone,IN
263,594,alphaprodine,IN
264,1307832,alpinia officinarum leaf extract,IN
265,596,alprazolam,IN
266,597,alprenolol,IN
267,598,alprostadil,IN
268,599,alseroxylon,IN
269,8410,alteplase,IN
270,17599,althiazide,IN
271,1314612,altrenogest,IN
272,5296,altretamine,IN
273,221456,"alum, potassium",IN
274,1311504,aluminum,IN
275,17609,aluminum acetate,IN
276,1546162,aluminum cation,IN
277,46241,aluminum chloride,IN
278,17610,aluminum chlorohydrate,IN
279,1313224,aluminum chlorohydrex propylene glycol,IN
280,612,aluminum hydroxide,IN
281,1029441,aluminum hydroxide / magnesium carbonate,MIN
282,17614,aluminum magnesium silicate,IN
283,615,aluminum oxide,IN
284,17618,aluminum phosphate,IN
285,54989,aluminum potassium sulfate,IN
286,543375,aluminum sesquichlorohydrate,IN
287,1362917,aluminum silicate,IN
288,46243,aluminum stearate,IN
289,235461,aluminum subacetate,IN
290,17621,aluminum sulfate,IN
291,705058,aluminum sulfate / calcium acetate,MIN
292,1306096,aluminum zirconium octachlorohydrex gly,IN
293,1306097,aluminum zirconium pentachlorohydrate,IN
294,1305899,aluminum zirconium pentachlorohydrex gly,IN
295,1305896,aluminum zirconium tetrachlorohydrex gly,IN
296,1370425,aluminum zirconium trichlorohydrex gly,IN
297,17627,alverine,IN
298,480639,alvimopan,IN
299,620,amantadine,IN
300,1363561,amaranthus hybridus pollen extract,IN
301,623,ambenonium,IN
302,1311393,amber,IN
303,358274,ambrisentan,IN
304,625,ambroxol,IN
305,17652,amcinonide,IN
306,626,amdinocillin,IN
307,627,amdinocillin pivoxil,IN
308,995754,american basswood pollen extract,IN
309,905258,american cockroach allergenic extract,IN
310,852054,american elm pollen extract,IN
311,2106338,amifampridine,IN
312,4126,amifostine,IN
313,641,amikacin,IN
314,644,amiloride,IN
315,812786,amiloride / hydrochlorothiazide / timolol,MIN
316,1426854,amiloxate,IN
317,645,aminacrine,IN
318,46276,aminaphthone,IN
319,1311153,amino methacrylate copolymer,IN
320,143980,aminobenzoate,IN
321,677,aminoglutethimide,IN
322,155002,aminolevulinate,IN
323,683,aminolevulinic acid,IN
324,1440266,aminometradine,IN
325,1006397,aminopentamide,IN
326,689,aminophylline,IN
327,2462496,aminopromazine,IN
328,1440268,aminopropazine fumarate,IN
329,1440264,aminopterin,IN
330,695,aminopyrine,IN
331,17747,aminoquinuride,IN
332,7833,aminosalicylic acid,IN
333,703,amiodarone,IN
334,46303,amisulpride,IN
335,17763,amitraz,IN
336,704,amitriptyline,IN
337,2549199,amivantamab,IN
338,46307,amlexanox,IN
339,17767,amlodipine,IN
340,214223,amlodipine / benazepril,MIN
341,1009015,amlodipine / olmesartan,MIN
342,1299884,ammonia,IN
343,1424665,ammonio methacrylate copolymer type a,IN
344,1312540,ammonium benzoate,IN
345,1313309,ammonium bromide,IN
346,1310190,ammonium carbonate,IN
347,712,ammonium chloride,IN
348,236220,ammonium salicylate,IN
349,1441545,ammonium valerate,IN
350,719,amobarbital,IN
351,720,amodiaquine,IN
352,1440270,amonafide,IN
353,1440271,amoproxan,IN
354,17804,amorolfine,IN
355,2667256,amosulalol,IN
356,722,amoxapine,IN
357,723,amoxicillin,IN
358,725,amphetamine,IN
359,822929,amphetamine aspartate / amphetamine sulfate / dextroamphetamine saccharate / dextroamphetamine sulfate,MIN
360,732,amphotericin b,IN
361,733,ampicillin,IN
362,228656,amprenavir,IN
363,1006654,amprolium,IN
364,739,amsacrine,IN
365,1371051,amygdalin,IN
366,1370452,amyl acetate,IN
367,1311606,amyl cinnamal,IN
368,742,amyl nitrite,IN
369,236248,amylmetacresol,IN
370,40660,amylocaine,IN
371,1368128,amylopectin,IN
372,1358956,anacardium occidentale fruit extract,IN
373,2626723,anacaulase,IN
374,596724,anagrelide,IN
375,72435,anakinra,IN
376,84857,anastrozole,IN
377,140502,ancestim,IN
378,772,ancrod,IN
379,2045114,andexanet alfa,IN
380,784,androstenedione,IN
381,17881,anethole,IN
382,820,anethole trithione,IN
383,1309828,angelica archangelica root extract,IN
384,1306167,angelica dahurica root extract,IN
385,1307866,angelica sinensis root extract,IN
386,1999003,angiotensin ii,IN
387,2669473,anhydrovitamin a,IN
388,341018,anidulafungin,IN
389,2565265,anifrolumab,IN
390,17933,anileridine,IN
391,1441546,aniline,IN
392,17939,aniracetam,IN
393,90926,anise oil,IN
394,17941,anisindione,IN
395,89780,anisotropine,IN
396,40028,anistreplase,IN
397,898404,annual bluegrass pollen extract,IN
398,2472152,ansuvimab,IN
399,865,antazoline,IN
400,873,anthralin,IN
401,314504,anti-inhibitor coagulant complex,IN
402,2631084,"antihemophilic factor (recombinant), fc-vwf-xten fusion protein",IN
403,1311407,antimony,IN
404,1546283,antimony cation (5+),IN
405,1337969,antimony pentasulfide,IN
406,981,antimony potassium tartrate,IN
407,1423913,antimony triiodide,IN
408,1316091,antimony trisulfide,IN
409,1001,antipyrine,IN
410,1009,antithrombin iii,IN
411,1999574,apalutamide,IN
412,1029,apazone,IN
413,1368130,apigenin,IN
414,1364430,apixaban,IN
415,1043,apomorphine,IN
416,360262,apple cider vinegar,IN
417,1485785,apple fruit oil,IN
418,283540,apple pectin,IN
419,14845,apraclonidine,IN
420,1492727,apremilast,IN
421,358255,aprepitant,IN
422,1318515,apricot kernel oil,IN
423,1054,aprindine,IN
424,2634355,aprinocarsen,IN
425,17381,aprobarbital,IN
426,2679059,aprocitentan,IN
427,1056,aprotinin,IN
428,905301,arabic gum allergenic extract,IN
429,891502,arabica coffee bean allergenic extract,IN
430,1716332,arachidate,IN
431,1368625,arachidonate,IN
432,26397,arbekacin,IN
433,61609,arbutamine,IN
434,1367175,arbutin,IN
435,87866,ardeparin,IN
436,304962,arformoterol,IN
437,1305642,argan oil,IN
438,15202,argatroban,IN
439,1091,arginine,IN
440,114464,arginine glutamate,IN
441,1482633,arginine pyroglutamate,IN
442,2694283,arimoclomol,IN
443,89013,aripiprazole,IN
444,1673265,aripiprazole lauroxil,IN
445,852496,arizona ash pollen extract,IN
446,852814,arizona cypress pollen extract,IN
447,641465,armodafinil,IN
448,283674,arnica flowers extract,IN
449,285208,arnica montana extract,IN
450,1306166,arnica montana flower extract,IN
451,852170,arroyo willow pollen extract,IN
452,18330,arsenic trioxide,IN
453,1546382,arsenite ion,IN
454,18343,artemether,IN
455,1656306,artemisia annua leaf extract,IN
456,1341384,artemisia vulgaris root extract,IN
457,2367409,artemisinin,IN
458,18346,artesunate,IN
459,1321355,arthrospira platensis,IN
460,592464,articaine,IN
461,284622,articaine / epinephrine,MIN
462,2584304,asciminib,IN
463,1311127,ascophyllum nodosum extract,IN
464,1370460,ascorbate,IN
465,1151,ascorbic acid,IN
466,1087405,ascorbic acid / biotin / copper sulfate / docusate / folic acid / iron carbonyl / vitamin b12 / vitamin e,MIN
467,1007544,ascorbic acid / polyethylene glycol 3350 / potassium chloride / sodium ascorbate / sodium chloride / sodium sulfate,MIN
468,1306933,ascorbyl glucoside,IN
469,1370605,ascorbyl phosphate,IN
470,784649,asenapine,IN
471,1720259,asfotase alfa,IN
472,1551574,asiatic acid,IN
473,18405,asiaticoside,IN
474,1156,asparaginase,IN
475,1157,asparagine,IN
476,1311524,aspartame,IN
477,1169,aspartic acid,IN
478,852339,aspen pollen extract,IN
479,1329940,aspergillus flavus var. oryzae,IN
480,1182,aspergillus fumigatus,IN
481,1191,aspirin,IN
482,214250,aspirin / caffeine,MIN
483,466549,aspirin / caffeine / orphenadrine,MIN
484,215451,aspirin / oxycodone hydrochloride / oxycodone terephthalate,MIN
485,18451,astaxanthin,IN
486,42328,astemizole,IN
487,2532931,astragalus propinquus root polysaccharides,IN
488,1652103,asunaprevir,IN
489,2747209,atacicept,IN
490,343047,atazanavir,IN
491,1601653,atazanavir / cobicistat,MIN
492,1202,atenolol,IN
493,151195,atenolol / chlorthalidone,MIN
494,1792776,atezolizumab,IN
495,2677916,atidarsagene autotemcel,IN
496,2737481,atinvicitinib,IN
497,18475,atipamezole,IN
498,2174524,atlantic halibut preparation,IN
499,2571813,atogepant,IN
500,2461338,atoltivimab,IN
501,2461538,atoltivimab / maftivimab / odesivimab,MIN
502,38400,atomoxetine,IN
503,83367,atorvastatin,IN
504,59639,atosiban,IN
505,60212,atovaquone,IN
506,284623,atovaquone / proguanil,MIN
507,1305643,atractylodes japonica root oil,IN
508,1307719,atractylodes lancea root extract,IN
509,1218,atracurium,IN
510,2710449,atrasentan,IN
511,1223,atropine,IN
512,214261,atropine / difenoxin,MIN
513,594040,atropine / diphenoxylate,MIN
514,214262,atropine / edrophonium,MIN
515,465370,atropine / pralidoxime,MIN
516,18516,attapulgite,IN
517,1227,auranofin,IN
518,4980,aurothioglucose,IN
519,42547,aurothiomalate,IN
520,852229,australian pine pollen extract,IN
521,900750,austrian pine pollen extract,IN
522,2645108,avacincaptad pegol,IN
523,2572100,avacopan,IN
524,2565814,avalglucosidase alfa,IN
525,1291301,avanafil,IN
526,2272107,avapritinib,IN
527,2045726,avatrombopag,IN
528,1875534,avelumab,IN
529,1309702,avena sativa flowering top extract,IN
530,1603834,avibactam,IN
531,1603839,avibactam / ceftazidime,MIN
532,1661561,avilamycin,IN
533,2591797,aviscumine,IN
534,45045,avobenzone,IN
535,1311611,avocado oil,IN
536,1427086,avotermin,IN
537,2714515,avutometinib,IN
538,2691526,axatilimab,IN
539,1987398,axicabtagene ciloleucel,IN
540,1242999,axitinib,IN
541,1251,azacitidine,IN
542,1307952,azadirachta indica flower extract,IN
543,1307640,azadirachta indica leaf extract,IN
544,2601502,azaperone,IN
545,18600,azatadine,IN
546,214265,azatadine / pseudoephedrine,MIN
547,1256,azathioprine,IN
548,18603,azelastine,IN
549,1291859,azelastine / fluticasone,MIN
550,618278,azelate,IN
551,1114112,azficel-t,IN
552,18609,azidocillin,IN
553,1091643,azilsartan,IN
554,1235143,azilsartan / chlorthalidone,MIN
555,402580,azintamide,IN
556,18631,azithromycin,IN
557,1266,azlocillin,IN
558,18651,azosemide,IN
559,1272,aztreonam,IN
560,18687,bacampicillin,IN
561,2359256,bacillus amyloliquefaciens,IN
562,1368371,bacillus anthracis strain v770-np1-r antigens,IN
563,2600050,bacillus clausii,IN
564,1311119,bacillus subtilis,IN
565,1291,bacitracin,IN
566,1363718,bacitracin methylene disalicylate,IN
567,1292,baclofen,IN
568,1807125,bacopa monniera whole extract,IN
569,852673,bahia grass pollen extract,IN
570,1592893,baicalein,IN
571,1368134,bakuchiol,IN
572,995747,bald cypress pollen extract,IN
573,1297525,bald-faced hornet venom protein,IN
574,2197842,baloxavir,IN
575,2099995,baloxavir marboxil,IN
576,18747,balsalazide,IN
577,1998858,balsam peru oil,IN
578,1014762,balsam poplar pollen extract,IN
579,1367176,bambermycins,IN
580,1372003,bamboo extract,IN
581,1314332,bambusa vulgaris top extract,IN
582,18751,bambuterol,IN
583,1321,bamethan,IN
584,18752,bamifylline,IN
585,18753,bamipine,IN
586,2463114,bamlanivimab,IN
587,46795,barbexaclone,IN
588,1325,barbital,IN
