legacy_anchor_drug_id,legacy_anchor_drug_name,term_kind,legacy_synonym_id,normalized_surface_form,provisional_default_rxcui,provisional_default_name,provisional_default_tty,validated_rxcui,validated_name,validated_tty,rxnorm_mapping_rule,override_class
29467,sodium oxybate,synonym,68836,xyrem,2393796,calcium oxybate / magnesium oxybate / potassium oxybate / sodium oxybate,MIN,2387302,oxybate,IN,bn_to_unique_in,multi_anchor_component_to_single_ingredient_target
29491,sodium pyroglutamate,synonym,61750,sodium pyrrolidone carboxylate,155060,pyroglutamate,IN,1370623,pyrrolidone carboxylate,IN,pin_to_unique_in,incompatible_ingredient_target_reassigned
29620,sorbitan,synonym,3062,"1,4-sorbitan",1367146,sorbitan,IN,1307571,"1,4-sorbitan",IN,exact_in,incompatible_ingredient_target_reassigned
29656,soybean oil,synonym,61984,soybean seed oil,9949,soybean oil,IN,1309980,soybean seed oil,IN,exact_in,incompatible_ingredient_target_reassigned
29807,"starch, tapioca",synonym,63658,tapioca starch allergenic extract,2619252,"starch, tapioca",IN,901346,tapioca starch allergenic extract,IN,exact_in,incompatible_ingredient_target_reassigned
30174,sulopenem,synonym,63015,sulopenem etzadroxil,2717833,sulopenem,IN,2717836,probenecid / sulopenem,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
31205,thiocolchicoside,synonym,66043,triclocarban,38085,thiocolchicoside,IN,38609,triclocarban,IN,exact_in,incompatible_ingredient_target_reassigned
31228,thiosalicylic acid,synonym,64743,thiosalicylate,322165,thiosalicylic acid,IN,91099,thiosalicylate,IN,exact_in,incompatible_ingredient_target_reassigned
31299,thyrotropin alfa,synonym,64903,thyrotropin-releasing hormone,4952,thyrotropin alfa,IN,10580,thyrotropin-releasing hormone,IN,exact_in,incompatible_ingredient_target_reassigned
31373,tigan,synonym,66160,trimethobenzamide hydrochloride,38685,trimethobenzamide,IN,214301,benzocaine / trimethobenzamide,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
31427,tiludronic acid,synonym,65005,tiludronate,11476,tiludronic acid,IN,57230,tiludronate,IN,exact_in,incompatible_ingredient_target_reassigned
31470,tioconazole,synonym,67331,vagistat,38298,tioconazole,IN,6932,miconazole,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
31616,tocopherol,synonym,14120,alpha tocopherol,1236136,tocopherol,IN,237099,alpha tocopherol,IN,exact_in,incompatible_ingredient_target_reassigned
31616,tocopherol,synonym,17037,aquasol e,1236136,tocopherol,IN,11256,vitamin e,IN,bn_to_unique_in,incompatible_ingredient_target_reassigned
31616,tocopherol,synonym,67904,vitamin e,1236136,tocopherol,IN,11256,vitamin e,IN,exact_in,incompatible_ingredient_target_reassigned
31836,tragacanth,synonym,65680,tragacanth allergenic extract,1368197,tragacanth,IN,1232630,tragacanth allergenic extract,IN,exact_in,incompatible_ingredient_target_reassigned
32355,tulathromycin a,synonym,66555,tulathromycin,1437806,tulathromycin a,IN,1309314,tulathromycin,IN,exact_in,incompatible_ingredient_target_reassigned
32788,valtrex,synonym,67362,valine,73645,valacyclovir,IN,11115,valine,IN,exact_in,incompatible_ingredient_target_reassigned
32954,verapamil,synonym,67600,verapamil hydrochloride,11170,verapamil,IN,214866,trandolapril / verapamil,MIN,pin_to_unique_min,single_anchor_to_multi_ingredient_target
33161,vitamin a,synonym,13687,all-trans-retinol,11246,vitamin a,IN,1367187,all-trans-retinol,IN,exact_in,incompatible_ingredient_target_reassigned
33786,zinc,synonym,69298,"zinc, chelated",11416,zinc,IN,253210,"zinc, chelated",IN,exact_in,incompatible_ingredient_target_reassigned
