normalized_surface_form,match_count,matched_rxcuis,matched_ttys,matched_names,concept_classes,mapping_status,mapping_rule,canonical_rxcui,canonical_name,canonical_tty
"(+)-(2s)-n-((1r)-1-(3,5-bis(trifluoromethyl)phenyl)ethyl)-2-(4-fluoro-2-methylphenyl)-n-methylpiperazine-1-carboxamide methanesulphonate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(3r,5r)-3,5-dihydroxy-7-[(1s,2s,6s,8s,8ar)-6-hydroxy-2-methyl-8-{[(s)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(4r)-limonene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(4r,5s,6s)-6-((r)-1-hydroxyethyl)-3-(((3s,5s)-5-((r)-1-hydroxy-3-(methylamino)propyl)-3-pyrrolidinyl)thio)-4-methyl-7-oxo-1-azabicyclo(3.2.0)hept-2-ene-2-carboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(5r,6s)-6-[(1r)-1-hydroxyethyl]-7-oxo-3-[(2r)-tetrahydro-2-furyl]-4-thia-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(5s)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5h-pyrrolo(3,4-b)pyrazin-5-yl 4-methylpiperazine-1-carboxylate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(5s)-6-(5-chloropyridin-2-yl)-7-oxo-6,7-dihydro-5h-pyrrolo[3,4-b]pyrazin-5-yl-4-methylpiperazine-1-carboxylate",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(5z,7e,20s)-20-(3-hydroxy-3-methylbutoxy)-9,10-secopregna-5,7,10(19)-triene-1alpha,3beta-diol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(5z,7e,24r)-9,10-secocholesta-5,7,10(19)-triene-1alpha,3beta,24-triol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(6r,7r)-7-((z)-2-(2-amino-4-thiazolyl)-4-carboxycrotonamido)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(6r,7r)-7-(2-(2-amino-4-thiazolyl)glyoxylamido)-3-((5-methyl-2h-tetrazol-2-yl)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-ene-2-carboxylic acid, 7(sup 2)-(z)-(o-methyloxime)",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(r)-2-(alpha-(2-(diisopropylamino)ethyl)benzyl)-p-cresol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(r)-4-isopropenyl-1-methylcyclohexene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(r)-limonene,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(r)-verapamil,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(r,r)-tartaric acid",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-1-cyclohexyl-4-(ethyl(p-methoxy-alpha-methylphenethyl)amino)-1-butanone,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-(s)-4,4'-propylenedi-2,6-piperazinedione",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-6-methoxy-α-methyl-2-naphthaleneacetic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-amphetamine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-m-benzoylhydratropic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-n-α-dimethylphenethylamine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-naproxen,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-(s)-p-isobutylhydratropic acid,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-.alpha.-dihydrotetrabenazine,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-.alpha.-tocopheryl polyethylene glycol 1000 succinate,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-1,2-bis(3,5-dioxo-1-piperazinyl)propane",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-1-(3-(aminomethyl) phenyl)-n-(5-((3-cyanophenyl)(cyclopropylmethylamino)methyl)-2-fluorophenyl)-3-(trifluoromethyl)-1h-pyrazole-5-carboxamide dihydrochloride,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-1-(3-methyl-4-morpholino-2,2-diphenylbutyryl)pyrrolidine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-1-(4-(ethyl(p-methoxy-alpha-methylphenethyl)amino)butyryl)-n,n-dimethylisonipecotamide",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-1-bromo-2-propanol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-1-deoxynojirimycin,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
(+)-1-isopropylamino-3-(1-naphthyloxy)-2-propanol,0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-10,11-dihydroxyaporphine",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-13-ethyl-17-hydroxy-18,19-dinor-17α-pregn-4-en-20-yn-3-one oxime acetate (ester)",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-2,2'-(ethylenediimino)di-1-butanol",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-2-((r)-((3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl)methyl)sulfinyl)-1h-benzimidazole",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
"(+)-2-((r)-{(3-methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl)methyl}sulfinyl)-1h-benzimidazole",0,,,,,unmatched,no_exact_active_rxnorm_concept,,,
