legacy_anchor_drug_id,canonical_rxcui,anchor_drug_id,canonical_drug_name,canonical_tty,default_rule
3952,1309199,244,aloe vera flower extract,IN,unique_convergent_term_evidence
3953,1306128,245,aloe vera leaf extract,IN,unique_convergent_term_evidence
3954,1739980,246,aloe vera leaf polysaccharides,IN,direct_anchor_exact_rxnorm
3960,1368001,247,alogliptin,IN,direct_anchor_exact_rxnorm
3961,1368001,247,alogliptin,IN,direct_anchor_exact_rxnorm
3962,17392,248,aloglutamol,IN,direct_anchor_exact_rxnorm
3967,519,234,allopurinol,IN,direct_anchor_exact_rxnorm
3969,85248,249,alosetron,IN,direct_anchor_exact_rxnorm
3970,85248,249,alosetron,IN,direct_anchor_exact_rxnorm
3974,70561,3801,palonosetron,IN,unique_convergent_term_evidence
3975,17393,250,aloxiprin,IN,direct_anchor_exact_rxnorm
3978,2169285,251,alpelisib,IN,direct_anchor_exact_rxnorm
3985,1952,945,camphor,IN,direct_anchor_exact_rxnorm
3990,535,252,alpha 1-antitrypsin,IN,unique_convergent_term_evidence
3994,1311606,367,amyl cinnamal,IN,unique_convergent_term_evidence
3996,1363429,255,alpha-arbutin,IN,direct_anchor_exact_rxnorm
4011,1800492,257,alpha-d-glucopyranose,IN,direct_anchor_exact_rxnorm
4038,595958,3016,linolenate,IN,unique_convergent_term_evidence
4052,2362183,259,alpha-pinene,IN,direct_anchor_exact_rxnorm
4056,1371307,260,alpha-terpineol,IN,direct_anchor_exact_rxnorm
4057,11256,5352,vitamin e,IN,unique_convergent_term_evidence
4058,11256,5352,vitamin e,IN,direct_anchor_exact_rxnorm
4059,1995482,261,alpha-tocopheryloxyacetate,IN,direct_anchor_exact_rxnorm
4062,134615,802,brimonidine,IN,direct_anchor_exact_rxnorm
4065,226623,2098,factor viii / von willebrand factor,MIN,direct_anchor_exact_rxnorm
4066,4249,2092,factor ix,IN,direct_anchor_exact_rxnorm
4067,594,263,alphaprodine,IN,direct_anchor_exact_rxnorm
4068,594,263,alphaprodine,IN,direct_anchor_exact_rxnorm
4069,1546450,4339,radium,IN,unique_convergent_term_evidence
4073,1307832,264,alpinia officinarum leaf extract,IN,unique_convergent_term_evidence
4077,596,265,alprazolam,IN,direct_anchor_exact_rxnorm
4078,597,266,alprenolol,IN,direct_anchor_exact_rxnorm
4079,597,266,alprenolol,IN,direct_anchor_exact_rxnorm
