legacy_regimen_id,legacy_anchor_drug_id,source_id,quarantine_reason
248,3477,1,drug_anchor_not_uniquely_validated
252,3477,1,drug_anchor_not_uniquely_validated
252,3477,7,drug_anchor_not_uniquely_validated
253,3477,1,drug_anchor_not_uniquely_validated
256,13255,1,drug_anchor_not_uniquely_validated
258,13255,1,drug_anchor_not_uniquely_validated
262,10266,7,drug_anchor_not_uniquely_validated
263,10266,7,drug_anchor_not_uniquely_validated
264,3438,7,drug_anchor_not_uniquely_validated
264,10266,7,drug_anchor_not_uniquely_validated
265,10266,7,drug_anchor_not_uniquely_validated
267,3477,1,drug_anchor_not_uniquely_validated
268,3477,1,drug_anchor_not_uniquely_validated
271,3438,1,drug_anchor_not_uniquely_validated
272,10266,1,drug_anchor_not_uniquely_validated
272,13255,1,drug_anchor_not_uniquely_validated
276,3477,1,drug_anchor_not_uniquely_validated
278,3729,1,drug_anchor_not_uniquely_validated
284,3477,1,drug_anchor_not_uniquely_validated
288,3890,1,drug_anchor_not_uniquely_validated
289,3890,1,drug_anchor_not_uniquely_validated
290,3890,1,drug_anchor_not_uniquely_validated
293,16315,1,drug_anchor_not_uniquely_validated
295,3890,1,drug_anchor_not_uniquely_validated
297,3890,1,drug_anchor_not_uniquely_validated
298,3438,1,drug_anchor_not_uniquely_validated
298,10266,1,drug_anchor_not_uniquely_validated
299,3438,1,drug_anchor_not_uniquely_validated
299,10266,1,drug_anchor_not_uniquely_validated
300,3729,7,drug_anchor_not_uniquely_validated
301,3438,1,drug_anchor_not_uniquely_validated
301,3438,7,drug_anchor_not_uniquely_validated
301,13255,1,drug_anchor_not_uniquely_validated
301,13255,7,drug_anchor_not_uniquely_validated
302,13255,1,drug_anchor_not_uniquely_validated
305,10266,1,drug_anchor_not_uniquely_validated
306,3438,1,drug_anchor_not_uniquely_validated
306,10266,1,drug_anchor_not_uniquely_validated
306,13255,1,drug_anchor_not_uniquely_validated
308,3414,1,drug_anchor_not_uniquely_validated
308,3438,1,drug_anchor_not_uniquely_validated
309,10266,1,drug_anchor_not_uniquely_validated
310,10266,1,drug_anchor_not_uniquely_validated
316,15176,7,drug_anchor_not_uniquely_validated
317,3438,1,drug_anchor_not_uniquely_validated
