legacy_anchor_drug_id,canonical_rxcui,canonical_name,canonical_tty,default_rule
10392,2837,copper,IN,direct_anchor_exact_rxnorm
10393,2839,copper gluconate,IN,direct_anchor_exact_rxnorm
10394,2396443,dodatate,IN,direct_anchor_exact_rxnorm
10406,979384,north american coral snake antivenin,IN,unique_convergent_term_evidence
10411,1989289,cordycepin,IN,direct_anchor_exact_rxnorm
10414,4271,factor xiii,IN,direct_anchor_exact_rxnorm
10418,1649480,ivabradine,IN,direct_anchor_exact_rxnorm
10419,24853,fenoldopam,IN,direct_anchor_exact_rxnorm
10433,5492,hydrocortisone,IN,direct_anchor_exact_rxnorm
10436,214461,corticotropin-releasing hormone,IN,unique_convergent_term_evidence
10437,214461,corticotropin-releasing hormone,IN,direct_anchor_exact_rxnorm
10442,376,corticotropin,IN,direct_anchor_exact_rxnorm
10451,2878,cortisone,IN,direct_anchor_exact_rxnorm
10452,217627,hydrocortisone / neomycin / polymyxin b,MIN,direct_anchor_exact_rxnorm
10455,21660,cortivazol,IN,direct_anchor_exact_rxnorm
10457,41289,ibutilide,IN,direct_anchor_exact_rxnorm
10458,1376214,corydalis ambigua tuber extract,IN,unique_convergent_term_evidence
10459,852281,hazelnut pollen extract,IN,unique_convergent_term_evidence
10467,798304,"diphtheria toxoid vaccine, inactivated",IN,unique_convergent_term_evidence
10475,2717511,cosibelimab,IN,direct_anchor_exact_rxnorm
10478,3100,dactinomycin,IN,direct_anchor_exact_rxnorm
10522,1309243,cottonseed oil,IN,direct_anchor_exact_rxnorm
10523,11289,warfarin,IN,direct_anchor_exact_rxnorm
10525,2745582,coumaphos,IN,direct_anchor_exact_rxnorm
10526,2898,coumarin,IN,direct_anchor_exact_rxnorm
10543,892665,cow milk allergenic extract,IN,unique_convergent_term_evidence
10612,2907,creatine,IN,direct_anchor_exact_rxnorm
10613,2907,creatine,IN,direct_anchor_exact_rxnorm
10614,2913,creatinine,IN,direct_anchor_exact_rxnorm
10622,21732,cresatin,IN,direct_anchor_exact_rxnorm
10623,1608322,isavuconazonium,IN,direct_anchor_exact_rxnorm
10625,62130,cresol,IN,direct_anchor_exact_rxnorm
10628,301542,rosuvastatin,IN,direct_anchor_exact_rxnorm
10633,2701386,crinecerfont,IN,direct_anchor_exact_rxnorm
10635,1865953,crisaborole,IN,direct_anchor_exact_rxnorm
10642,1148495,crizotinib,IN,direct_anchor_exact_rxnorm
10648,2262278,crocin,IN,direct_anchor_exact_rxnorm
10649,21753,croconazole,IN,direct_anchor_exact_rxnorm
10650,1008507,agkistrodon piscivorus antivenin / crotalus adamanteus antivenin / crotalus atrox antivenin / crotalus scutulatus antivenin,MIN,direct_anchor_exact_rxnorm
10651,1364449,crofelemer,IN,direct_anchor_exact_rxnorm
10658,,,,ambiguous_legacy_anchor_evidence
10659,812238,cromolyn / xylometazoline,MIN,direct_anchor_exact_rxnorm
10663,1310574,croscarmellose,IN,direct_anchor_exact_rxnorm
10665,885185,crotalus adamanteus antivenin,IN,direct_anchor_exact_rxnorm
10666,885187,crotalus atrox antivenin,IN,direct_anchor_exact_rxnorm
10667,885189,crotalus scutulatus antivenin,IN,direct_anchor_exact_rxnorm
10668,21766,crotamiton,IN,direct_anchor_exact_rxnorm
10671,1309665,croton oil,IN,direct_anchor_exact_rxnorm
10674,2686619,crovalimab,IN,direct_anchor_exact_rxnorm
10688,42618,cryptenamine,IN,direct_anchor_exact_rxnorm
10689,1307710,crypthecodinium cohnii dha oil,IN,direct_anchor_exact_rxnorm
10719,886637,dog flea allergenic extract,IN,unique_convergent_term_evidence
10720,886638,cat flea allergenic extract,IN,unique_convergent_term_evidence
10740,1345679,culex pipiens preparation,IN,unique_convergent_term_evidence
10742,,,,ambiguous_legacy_anchor_evidence
10749,852814,arizona cypress pollen extract,IN,unique_convergent_term_evidence
10751,1427198,cupric cation,IN,direct_anchor_exact_rxnorm
10752,21833,cupric chloride,IN,direct_anchor_exact_rxnorm
10753,1428217,cupric glycinate,IN,direct_anchor_exact_rxnorm
10754,21837,cupric oxide,IN,direct_anchor_exact_rxnorm
10755,21579,copper sulfate,IN,unique_convergent_term_evidence
10757,1423796,cuprous chloride,IN,direct_anchor_exact_rxnorm
10763,1482794,curcuma aromatica root oil,IN,direct_anchor_exact_rxnorm
10764,1306094,curcuma xanthorrhiza oil,IN,direct_anchor_exact_rxnorm
10766,2955,curcumin,IN,direct_anchor_exact_rxnorm
10774,999438,curvularia inequalis allergenic extract,IN,unique_convergent_term_evidence
10807,21877,cyamemazine,IN,direct_anchor_exact_rxnorm
10811,11248,vitamin b12,IN,unique_convergent_term_evidence
10822,852551,burweed marshelder pollen extract,IN,unique_convergent_term_evidence
10823,2968,cyclacillin,IN,direct_anchor_exact_rxnorm
10826,2970,cyclandelate,IN,direct_anchor_exact_rxnorm
10832,1314330,cyclic amp,IN,unique_convergent_term_evidence
10841,2977,cyclizine,IN,direct_anchor_exact_rxnorm
10842,2977,cyclizine,IN,direct_anchor_exact_rxnorm
10843,2977,cyclizine,IN,direct_anchor_exact_rxnorm
10848,2978,cyclobarbital,IN,direct_anchor_exact_rxnorm
10850,21949,cyclobenzaprine,IN,direct_anchor_exact_rxnorm
10851,21949,cyclobenzaprine,IN,direct_anchor_exact_rxnorm
10856,21954,cyclobutyrol,IN,direct_anchor_exact_rxnorm
10861,2983,cyclofenil,IN,direct_anchor_exact_rxnorm
10867,2099711,cyclohexanol,IN,direct_anchor_exact_rxnorm
10868,2362166,cyclohexanone,IN,direct_anchor_exact_rxnorm
10879,1307080,cyclomethicone,IN,direct_anchor_exact_rxnorm
10880,1305744,cyclomethicone 5,IN,direct_anchor_exact_rxnorm
10881,21990,cyclomethycaine,IN,direct_anchor_exact_rxnorm
10886,59094,cyclopentamine,IN,direct_anchor_exact_rxnorm
10887,59094,cyclopentamine,IN,direct_anchor_exact_rxnorm
10890,3000,cyclopenthiazide,IN,direct_anchor_exact_rxnorm
10891,3001,cyclopentolate,IN,direct_anchor_exact_rxnorm
10892,690312,cyclopentolate / phenylephrine,MIN,direct_anchor_exact_rxnorm
10904,3007,cycloserine,IN,direct_anchor_exact_rxnorm
10905,3008,cyclosporine,IN,direct_anchor_exact_rxnorm
10909,22033,cyclothiazide,IN,direct_anchor_exact_rxnorm
10918,22037,cycrimine,IN,direct_anchor_exact_rxnorm
10919,22037,cycrimine,IN,direct_anchor_exact_rxnorm
10932,72625,duloxetine,IN,direct_anchor_exact_rxnorm
10938,851906,bermuda grass pollen extract,IN,unique_convergent_term_evidence
10947,2590266,cypermethrin,IN,direct_anchor_exact_rxnorm
